NORAD_CAT_ID,OBJECT_NAME,SATNAME,OBJECT_ID,COUNTRY,OBJECT_TYPE,CURRENT,LAUNCH,SITE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,FILE
22077,OSCAR 23 (KITSAT 1),OSCAR 23 (KITSAT 1),1992-052B,SKOR,PAYLOAD,Y,1992-08-10,FRGUI,111.92,66.08,1325,1305,MEDIUM,1992,52,B,9414
22828,KITSAT B,KITSAT B,1993-061F,SKOR,PAYLOAD,Y,1993-09-26,FRGUI,100.58,98.69,792,779,MEDIUM,1993,61,F,9425
23639,KOREASAT 1,KOREASAT 1,1995-041A,SKOR,PAYLOAD,Y,1995-08-05,AFETR,1444.69,14.71,35977,35933,LARGE,1995,41,A,9429
23768,ABS 1A (KOREASAT 2),ABS 1A (KOREASAT 2),1996-003A,SKOR,PAYLOAD,Y,1996-01-14,AFETR,1442.90,12.48,35922,35917,LARGE,1996,3,A,9429
42714,LINK,LINK,1998-067LV,SKOR,PAYLOAD,Y,1998-11-20,TTMTR,87.64,51.61,162,154,SMALL,1998,67,LV,7337
42727,SNUSAT-1,SNUSAT-1,1998-067MG,SKOR,PAYLOAD,Y,1998-11-20,TTMTR,87.91,51.61,177,165,SMALL,1998,67,MG,7541
42733,SNUSAT-1B,SNUSAT-1B,1998-067MN,SKOR,PAYLOAD,Y,1998-11-20,TTMTR,87.31,51.60,145,137,SMALL,1998,67,MN,9248
25756,KITSAT 3,KITSAT 3,1999-029A,SKOR,PAYLOAD,Y,1999-05-26,SRI,98.92,98.63,716,697,MEDIUM,1999,29,A,9428
25894,ABS 7 (KOREASAT 3),ABS 7 (KOREASAT 3),1999-046A,SKOR,PAYLOAD,Y,1999-09-04,FRGUI,1440.37,6.25,35888,35852,LARGE,1999,46,A,9427
26032,KOMPSAT,KOMPSAT,1999-070A,SKOR,PAYLOAD,Y,1999-12-21,AFWTR,97.53,98.30,643,638,LARGE,1999,70,A,9428
27945,KAISTSAT 4,KAISTSAT 4,2003-042G,SKOR,PAYLOAD,Y,2003-09-27,PKMTR,98.11,98.37,675,661,MEDIUM,2003,42,G,9418
29268,KOMPSAT 2,KOMPSAT 2,2006-031A,SKOR,PAYLOAD,Y,2006-07-28,PKMTR,98.32,97.83,689,668,LARGE,2006,31,A,9417
29349,KOREASAT 5,KOREASAT 5,2006-034A,SKOR,PAYLOAD,Y,2006-08-22,SEAL,1436.13,1.55,35795,35779,LARGE,2006,34,A,9429
36744,COMS 1,COMS 1,2010-032A,SKOR,PAYLOAD,Y,2010-06-26,FRGUI,1436.12,4.57,35790,35784,LARGE,2010,32,A,9429
37265,KOREASAT 6,KOREASAT 6,2010-070B,SKOR,PAYLOAD,Y,2010-12-29,FRGUI,1436.11,0.02,35796,35778,LARGE,2010,70,B,9429
38338,KOMPSAT 3,KOMPSAT 3,2012-025B,SKOR,PAYLOAD,Y,2012-05-17,TNSTA,98.49,98.11,691,682,LARGE,2012,25,B,9415
39068,STSAT 2C,STSAT 2C,2013-003A,SKOR,PAYLOAD,Y,2013-01-30,NSC,87.30,80.14,149,132,MEDIUM,2013,3,A,9248
39131,OSSI 1,OSSI 1,2013-015B,SKOR,PAYLOAD,Y,2013-04-19,TTMTR,88.73,64.88,245,178,,2013,15,B,5799
39227,KOMPSAT 5,KOMPSAT 5,2013-042A,SKOR,PAYLOAD,Y,2013-08-22,OREN,95.71,97.62,557,549,LARGE,2013,42,A,9429
39422,STSAT 3,STSAT 3,2013-066G,SKOR,PAYLOAD,Y,2013-11-21,OREN,95.86,97.61,568,553,MEDIUM,2013,66,G,9424
40536,KOMPSAT 3A,KOMPSAT 3A,2015-014A,SKOR,PAYLOAD,Y,2015-03-25,OREN,92.95,97.69,463,375,LARGE,2015,14,A,9429
42691,KOREASAT 7,KOREASAT 7,2017-023A,SKOR,PAYLOAD,Y,2017-05-04,FRGUI,1436.12,0.02,35795,35779,LARGE,2017,23,A,9429
42984,KOREASAT 5A,KOREASAT 5A,2017-067A,SKOR,PAYLOAD,Y,2017-10-30,AFETR,1436.16,0.02,35796,35780,LARGE,2017,67,A,9428
43138,STEP CUBE LAB,STEP CUBE LAB,2018-004AD,SKOR,PAYLOAD,Y,2018-01-12,SRI,87.31,97.30,152,131,SMALL,2018,4,AD,8614
43811,NEXTSAT-1,NEXTSAT-1,2018-099BF,SKOR,PAYLOAD,Y,2018-12-03,AFWTR,95.48,97.42,549,535,MEDIUM,2018,99,BF,9425
